project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,5,12,0.8076923076923077,false,616,4,7.823528965166569E-4,0,PACKAGE,.,.,com.sitewhere.grpc.client.asset,asset,12591,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,1.0,false,PACKAGE,4,4,0.25,false,16,3,8.430503537673113E-4,0,PACKAGE,.,.,com.sitewhere.registration.spi,spi,16692,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,1,13,0.875,false,92,5,6.617925606832128E-4,0,PACKAGE,.,.,com.sitewhere.connectors.groovy,groovy,8507,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,1,4,0.8571428571428571,false,156,1,6.456083049005206E-4,0,PACKAGE,.,.,com.sitewhere.web.rest.marshaling,marshaling,4435,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,1,5,0.8571428571428571,false,60,2,6.617925606832128E-4,0,PACKAGE,.,.,com.sitewhere.connectors.groovy.common,common,8531,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,1,8,0.8888888888888888,false,64,1,6.617925606832128E-4,0,PACKAGE,.,.,com.sitewhere.connectors.groovy.filter,filter,8539,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,1,3,0.75,false,31,1,6.617925606832128E-4,0,PACKAGE,.,.,com.sitewhere.connectors.groovy.routing,routing,8547,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.5,false,PACKAGE,1,5,0.8888888888888888,false,112,2,6.617925606832128E-4,0,PACKAGE,.,.,com.sitewhere.connectors.groovy.multicast,multicast,8555,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,0,0,0.0,false,8,1,6.319504661755138E-4,0,PACKAGE,.,.,com.sitewhere.schedule.messages,messages,8564,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,1,1,0.6666666666666666,false,65,2,0.029345447507580807,0,PACKAGE,.,.,com.sitewhere.rest.model.monitoring,monitoring,8580,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,1,13,0.9444444444444444,false,290,2,6.487366443360945E-4,0,PACKAGE,.,.,com.sitewhere.instance.tenant.templates,templates,16784,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,0,0,0.0,false,8,1,6.319504661755138E-4,0,PACKAGE,.,.,com.sitewhere.connectors.messages,messages,12697,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,1.0,false,PACKAGE,3,1,0.25,false,4,1,8.054452883805886E-4,0,PACKAGE,.,.,com.sitewhere.instance.spi.user.grpc,grpc,8615,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,1.0,false,PACKAGE,8,9,0.4782608695652174,false,23,1,0.0010105368262756278,0,PACKAGE,.,.,com.sitewhere.instance.spi.microservice,microservice,12715,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,1,5,0.9,false,100,3,7.699001696959269E-4,0,PACKAGE,.,.,com.sitewhere.web.ws.components,components,16812,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,1.0,false,PACKAGE,2,1,0.3333333333333333,false,4,1,7.148070080744129E-4,0,PACKAGE,.,.,com.sitewhere.asset.spi.grpc,grpc,16821,container
