Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
trainticket-1.0.0-fa8d9ef,adminbasic.config,SecurityConfig,corsConfigurer,Long Statement,The length of the statement "registry.addMapping("/**").allowedOrigins(ALL).allowedMethods(ALL).allowedHeaders(ALL).allowCredentials(false).maxAge(3600);" is 124.,39
trainticket-1.0.0-fa8d9ef,adminbasic.config,SecurityConfig,corsConfigurer,Magic Number,The method contains a magic number: 3600,39
trainticket-1.0.0-fa8d9ef,adminbasic.config,SecurityConfig,addCorsMappings,Long Statement,The length of the statement "registry.addMapping("/**").allowedOrigins(ALL).allowedMethods(ALL).allowedHeaders(ALL).allowCredentials(false).maxAge(3600);" is 124.,50
trainticket-1.0.0-fa8d9ef,adminbasic.config,SecurityConfig,addCorsMappings,Magic Number,The method contains a magic number: 3600,50
trainticket-1.0.0-fa8d9ef,adminbasic.config,SecurityConfig,configure,Long Statement,The length of the statement "httpSecurity.httpBasic().disable().csrf().disable().sessionManagement().sessionCreationPolicy(SessionCreationPolicy.STATELESS).and().authorizeRequests().antMatchers(HttpMethod.GET`"/api/v1/adminbasicservice/adminbasic/stations").permitAll().antMatchers(HttpMethod.GET`"/api/v1/adminbasicservice/adminbasic/trains").permitAll().antMatchers(HttpMethod.GET`"/api/v1/adminbasicservice/adminbasic/prices").permitAll().antMatchers(HttpMethod.GET`"/api/v1/adminbasicservice/adminbasic/configs").permitAll().antMatchers(HttpMethod.GET`"/api/v1/adminbasicservice/adminbasic/contacts").permitAll().antMatchers("/api/v1/adminbasicservice/**").hasRole("ADMIN").antMatchers("/swagger-ui.html"`"/webjars/**"`"/images/**"`"/configuration/**"`"/swagger-resources/**"`"/v2/**").permitAll().anyRequest().authenticated().and().addFilterBefore(new JWTFilter()`UsernamePasswordAuthenticationFilter.class);" is 884.,63
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testHome,Long Statement,The length of the statement "mockMvc.perform(MockMvcRequestBuilders.get("/api/v1/adminbasicservice/welcome")).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.content().string("Welcome to [ AdminBasicInfo Service ] !"));" is 223.,43
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllContacts,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.get("/api/v1/adminbasicservice/adminbasic/contacts")).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 203.,50
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteContacts,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.deleteContact(Mockito.anyString()`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 123.,59
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteContacts,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.delete("/api/v1/adminbasicservice/adminbasic/contacts/contactsId")).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 217.,59
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyContacts,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.modifyContact(Mockito.any(Contacts.class)`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 131.,68
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyContacts,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.put("/api/v1/adminbasicservice/adminbasic/contacts").contentType(MediaType.APPLICATION_JSON).content(requestJson)).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 264.,68
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddContacts,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.addContact(Mockito.any(Contacts.class)`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 128.,79
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddContacts,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.post("/api/v1/adminbasicservice/adminbasic/contacts").contentType(MediaType.APPLICATION_JSON).content(requestJson)).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 265.,79
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllStations,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.get("/api/v1/adminbasicservice/adminbasic/stations")).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 203.,90
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteStation,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.deleteStation(Mockito.anyString()`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 123.,99
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteStation,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.delete("/api/v1/adminbasicservice/adminbasic/stations").contentType(MediaType.APPLICATION_JSON).content(requestJson)).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 267.,99
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyStation,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.modifyStation(Mockito.any(Station.class)`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 130.,110
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyStation,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.put("/api/v1/adminbasicservice/adminbasic/stations").contentType(MediaType.APPLICATION_JSON).content(requestJson)).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 264.,110
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddStation,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.addStation(Mockito.any(Station.class)`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 127.,121
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddStation,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.post("/api/v1/adminbasicservice/adminbasic/stations").contentType(MediaType.APPLICATION_JSON).content(requestJson)).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 265.,121
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllTrains,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.get("/api/v1/adminbasicservice/adminbasic/trains")).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 201.,132
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteTrain,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.deleteTrain(Mockito.anyString()`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 121.,141
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteTrain,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.delete("/api/v1/adminbasicservice/adminbasic/trains/id")).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 207.,141
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyTrain,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.modifyTrain(Mockito.any(TrainType.class)`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 130.,150
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyTrain,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.put("/api/v1/adminbasicservice/adminbasic/trains").contentType(MediaType.APPLICATION_JSON).content(requestJson)).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 262.,150
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddTrain,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.addTrain(Mockito.any(TrainType.class)`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 127.,161
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddTrain,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.post("/api/v1/adminbasicservice/adminbasic/trains").contentType(MediaType.APPLICATION_JSON).content(requestJson)).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 263.,161
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllConfigs,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.get("/api/v1/adminbasicservice/adminbasic/configs")).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 202.,172
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteConfig,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.deleteConfig(Mockito.anyString()`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 122.,181
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteConfig,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.delete("/api/v1/adminbasicservice/adminbasic/configs/name")).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 210.,181
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyConfig,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.modifyConfig(Mockito.any(Config.class)`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 128.,190
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyConfig,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.put("/api/v1/adminbasicservice/adminbasic/configs").contentType(MediaType.APPLICATION_JSON).content(requestJson)).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 263.,190
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddConfig,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.addConfig(Mockito.any(Config.class)`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 125.,201
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddConfig,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.post("/api/v1/adminbasicservice/adminbasic/configs").contentType(MediaType.APPLICATION_JSON).content(requestJson)).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 264.,201
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllPrices,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.get("/api/v1/adminbasicservice/adminbasic/prices")).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 201.,212
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeletePrice,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.deletePrice(Mockito.anyString()`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 121.,221
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeletePrice,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.delete("/api/v1/adminbasicservice/adminbasic/prices").contentType(MediaType.APPLICATION_JSON).content(requestJson)).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 265.,221
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyPrice,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.modifyPrice(Mockito.any(PriceInfo.class)`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 130.,232
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyPrice,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.put("/api/v1/adminbasicservice/adminbasic/prices").contentType(MediaType.APPLICATION_JSON).content(requestJson)).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 262.,232
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddPrice,Long Statement,The length of the statement "Mockito.when(adminBasicInfoService.addPrice(Mockito.any(PriceInfo.class)`Mockito.any(HttpHeaders.class))).thenReturn(response);" is 127.,243
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddPrice,Long Statement,The length of the statement "String result=mockMvc.perform(MockMvcRequestBuilders.post("/api/v1/adminbasicservice/adminbasic/prices").contentType(MediaType.APPLICATION_JSON).content(requestJson)).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString();" is 263.,243
trainticket-1.0.0-fa8d9ef,adminbasic.service,AdminBasicInfoServiceImpl,getAllContacts,Long Statement,The length of the statement "ResponseEntity<Response> re=restTemplate.exchange(contacts_service_url + "/api/v1/contactservice/contacts"`HttpMethod.GET`requestEntity`Response.class);" is 152.,39
trainticket-1.0.0-fa8d9ef,adminbasic.service,AdminBasicInfoServiceImpl,deleteContact,Long Statement,The length of the statement "ResponseEntity<Response> re=restTemplate.exchange(contacts_service_url + "/api/v1/contactservice/contacts/" + contactsId`HttpMethod.DELETE`requestEntity`Response.class);" is 169.,54
trainticket-1.0.0-fa8d9ef,adminbasic.service,AdminBasicInfoServiceImpl,modifyContact,Long Statement,The length of the statement "ResponseEntity<Response> re=restTemplate.exchange(contacts_service_url + "/api/v1/contactservice/contacts"`HttpMethod.PUT`requestEntity`Response.class);" is 152.,69
trainticket-1.0.0-fa8d9ef,adminbasic.service,AdminBasicInfoServiceImpl,addContact,Long Statement,The length of the statement "ResponseEntity<Response> re=restTemplate.exchange(contacts_service_url + "/api/v1/contactservice/contacts/admin"`HttpMethod.POST`requestEntity`Response.class);" is 159.,85
trainticket-1.0.0-fa8d9ef,adminbasic.service,AdminBasicInfoServiceImpl,deleteTrain,Long Statement,The length of the statement "ResponseEntity<Response> re=restTemplate.exchange(train_service_url + "/api/v1/trainservice/trains/" + id`HttpMethod.DELETE`requestEntity`Response.class);" is 154.,194
trainticket-1.0.0-fa8d9ef,adminbasic.service,AdminBasicInfoServiceImpl,deleteConfig,Long Statement,The length of the statement "ResponseEntity<Response> re=restTemplate.exchange(config_service_url + "/api/v1/configservice/configs/" + name`HttpMethod.DELETE`requestEntity`Response.class);" is 159.,250
trainticket-1.0.0-fa8d9ef,adminbasic.service,AdminBasicInfoServiceImplTest,testGetAllContacts,Long Statement,The length of the statement "Mockito.when(restTemplate.exchange("http://ts-contacts-service:12347/api/v1/contactservice/contacts"`HttpMethod.GET`requestEntity`Response.class)).thenReturn(re);" is 162.,37
