Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
trainticket-1.0.0-fa8d9ef,train.controller,TrainControllerTest,testHome,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-1.0.0-fa8d9ef,travelplan.controller,TravelPlanControllerTest,testHome,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-1.0.0-fa8d9ef,travel.controller,TravelControllerTest,testHome,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-1.0.0-fa8d9ef,travel2.controller,TravelControllerTest,testHome,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-1.0.0-fa8d9ef,user.controller,UserControllerTest,testHome,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-1.0.0-fa8d9ef,user.service,UserServiceImplTest,testDeleteUserAuth,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-1.0.0-fa8d9ef,verifycode.controller,VerifyCodeControllerTest,testImageCode,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-1.0.0-fa8d9ef,verifycode.service,VerifyCodeServiceImplTest,testGetImageCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trainticket-1.0.0-fa8d9ef,waitorder,WaitOrderApplicationTests,contextLoads,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-1.0.0-fa8d9ef,waitorder,WaitOrderApplicationTests,contextLoads,Empty test,The tool detected the smell in this test method because the test is empty.
