Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.test,EventHubTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_BASE_URL; DEFAULT_USERNAME; DEFAULT_PASSWORD; DEFAULT_TENANT_AUTH_TOKEN; DEFAULT_CONNECT_TIMEOUT; DEBUG_ENABLED; client; baseUrl; username; password; tenantAuthToken
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 64 public methods
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient.HttpEntityEnclosingDeleteRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient.HttpEntityEnclosingDeleteRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereErrorHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.test,SiteWhereClientTester,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.test,SiteWhereClientTester.TestResults,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.test,SiteWhereClientTester.TestResults,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.spi,ISiteWhereClient,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 49 public methods
sitewhere-1.13.0-b85bf70,com.sitewhere.spi,ISiteWhereContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.spi,ServerStartupException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SiteWhereException
sitewhere-1.13.0-b85bf70,com.sitewhere.spi,SiteWhereSystemException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SiteWhereException
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEST_SPECIFICATION_TOKEN; TEST_HARDWARE_ID; TEST_ASSET_ID; TEST_SITE_TOKEN; ANDROID_SPEC_TOKEN; client
sitewhere-1.13.0-b85bf70,com.sitewhere.test,StreamTests,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ASSN_TOKEN; hexArray
sitewhere-1.13.0-b85bf70,com.sitewhere.common,ExpiringLRUCache.CacheEntry,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: timestamp; value
sitewhere-1.13.0-b85bf70,com.sitewhere.common,ExpiringLRUCache.CacheEntry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.common,ExpiringLRUCache.CacheStatistics,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: cache; cacheMisses; cacheHits
sitewhere-1.13.0-b85bf70,com.sitewhere.common,ExpiringLRUCache.CacheStatistics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.common,MarshalUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; MAPPER; PRETTY_MAPPER
sitewhere-1.13.0-b85bf70,com.sitewhere.configuration,ResourceManagerGlobalConfigurationResolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.configuration,ResourceManagerGlobalConfigurationResolver,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; resourceManager; configurationRoot
sitewhere-1.13.0-b85bf70,com.sitewhere.configuration,ResourceManagerTenantConfigurationResolver,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; ASSETS_FOLDER; SCRIPTS_FOLDER; DEFAULT_TENANT_CONFIGURATION_FILE; TENANT_SUFFIX_ACTIVE; TENANT_SUFFIX_STAGED; TENANT_SUFFIX_BACKUP; tenant; version; globalConfigurationResolver; resourceManager
sitewhere-1.13.0-b85bf70,com.sitewhere.core,Boilerplate,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_MESSAGE_WIDTH
sitewhere-1.13.0-b85bf70,com.sitewhere.core,SiteWherePersistence,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 59 public methods
sitewhere-1.13.0-b85bf70,com.sitewhere.core,SiteWherePersistence,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: DeviceEventManagementTriggers; HBaseAsset; HBaseAssetCategory; HBaseUtils; HBaseBatchElement; HBaseBatchOperation; HBaseDevice; HBaseDeviceAssignment; HBaseDeviceCommand; HBaseDeviceEvent; HBaseDeviceEventManagement; HBaseDeviceGroup; HBaseDeviceGroupElement; HBaseDeviceManagement; HBaseDeviceSpecification; HBaseDeviceStream; HBaseDeviceStreamData; HBaseSite; HBaseZone; HBaseSchedule; HBaseScheduledJob; HBaseTenant; HBaseGrantedAuthority; HBaseUser; InfluxDbDeviceEventManagement; MongoAssetManagement; MongoDeviceEventManagement; MongoDeviceManagement; MongoScheduleManagement; MongoTenantManagement; MongoUserManagement. Outgoing dependencies: MetadataProviderEntity; ErrorCode; IDeviceSpecificationCreateRequest; DeviceSpecification; IDeviceElementSchema; IDeviceSpecification; IDeviceCommandCreateRequest; DeviceCommand; IDeviceStatusCreateRequest; DeviceStatus; IDeviceCreateRequest; Device; IDeviceManagement; IDeviceElementMapping; IDevice; DeviceElementMapping; DeviceCreateRequest; ISiteCreateRequest; Site; IDeviceAssignmentCreateRequest; DeviceAssignment; IDeviceAssignment; IDeviceEventBatch; IDeviceEventManagement; DeviceEventBatchResponse; IDeviceEventCreateRequest; DeviceEvent; IDeviceMeasurementsCreateRequest; DeviceMeasurements; IDeviceLocationCreateRequest; DeviceLocation; IDeviceAlertCreateRequest; DeviceAlert; IDeviceStreamCreateRequest; DeviceStream; IDeviceStreamDataCreateRequest; DeviceStreamData; IDeviceCommand; IDeviceCommandInvocationCreateRequest; DeviceCommandInvocation; ICommandParameter; IDeviceCommandResponseCreateRequest; DeviceCommandResponse; IDeviceStateChangeCreateRequest; DeviceStateChange; IZoneCreateRequest; Zone; IDeviceGroupCreateRequest; DeviceGroup; IDeviceGroupElementCreateRequest; DeviceGroupElement; IBatchOperationCreateRequest; BatchOperation; IBatchOperationUpdateRequest; BatchElement; IBatchElementUpdateRequest; IBatchCommandInvocationRequest; BatchOperationCreateRequest; IUserCreateRequest; User; ITenantManagement; ISearchResults; TenantCreateRequest; IGrantedAuthorityCreateRequest; GrantedAuthority; ITenantCreateRequest; Tenant; ITenantSearchCriteria; ISiteWhereTenantEngine; IAssetCategoryCreateRequest; AssetCategory; IAssetCategory; IAssetCreateRequest; Asset; IPersonAssetCreateRequest; PersonAsset; IHardwareAssetCreateRequest; HardwareAsset; ILocationAssetCreateRequest; LocationAsset; IScheduleCreateRequest; Schedule; IScheduledJobCreateRequest; ScheduledJob; ErrorLevel; DeviceContainerPolicy; DeviceAssignmentType; DeviceAssignmentStatus; AlertSource; AlertLevel; CommandStatus; ElementProcessingStatus; OperationType; AssetType; ScheduledJobState; LoginManager; MetadataProvider; DeviceSpecificationUtils; SiteMapData; SiteWhere
sitewhere-1.13.0-b85bf70,com.sitewhere.device,AssignmentStateManager.Persistence,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sitewhere-1.13.0-b85bf70,com.sitewhere.device,AssignmentStateManager.Persistence,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device,DeviceEventManagementDecorator,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 33 public methods
sitewhere-1.13.0-b85bf70,com.sitewhere.device,DeviceEventManagementTriggers,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device,DeviceManagementDecorator,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 72 public methods
sitewhere-1.13.0-b85bf70,com.sitewhere.device,DeviceManagementTriggers,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BinaryInboundEventSource,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueInboundProcessingStrategy,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InboundProcessingStrategy
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueInboundProcessingStrategy,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueInboundProcessingStrategy.ProcessorsThreadFactory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: counter
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueInboundProcessingStrategy.ProcessorsThreadFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueInboundProcessingStrategy.PerformanceWrapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: startTime; request
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueInboundProcessingStrategy.PerformanceWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueInboundProcessingStrategy.MonitorOutput,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueInboundProcessingStrategy.MonitorOutput,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueInboundProcessingStrategy.BlockingMessageProcessor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: queue
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueInboundProcessingStrategy.BlockingMessageProcessor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueOutboundProcessingStrategy.ProcessorsThreadFactory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: counter
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueOutboundProcessingStrategy.ProcessorsThreadFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueOutboundProcessingStrategy.BlockingDeviceEventProcessor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: queue
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,BlockingQueueOutboundProcessingStrategy.BlockingDeviceEventProcessor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,CommandDestination,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DecodedInboundEventSource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InboundEventSource
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DecodedInboundEventSource.NoOpDecoder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: LOGGER
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DecodedInboundEventSource.NoOpDecoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DefaultCommandExecutionBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
