project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
qbike-2-66e65c8,37a30611-1084-47d4-931a-2e494d904a81,1,2023-02-11T21:34:44.334412500,22.640045471932893,22.640045471932893,0.0,CONTAINER,PACKAGE,"[club.newtech.qbike.intention.domain.core.vo, club.newtech.qbike.intention.domain.core.root]",1207;1185,0.0,,0.0,0.0,0.0,7.0,1.0,2,0.004506652029852243,1,5.660011367983223,TINY,2,16,16,0.0,0.0,0.0,0,cyclicDep,3933,smell
qbike-2-66e65c8,37a30611-1084-47d4-931a-2e494d904a81,1,2023-02-11T21:34:44.334412500,10.985001629713935,10.985001629713935,0.0,UNIT,CONCRETE_CLASS,"[club.newtech.qbike.intention.domain.core.vo.Candidate, club.newtech.qbike.intention.domain.core.root.Intention]",876;1074,0.0,,0.0,0.0,0.0,7.0,1.0,2,5.550034117350268E-4,1,4.484608136073463,TINY,2,6,6,0.0,0.0,0.0,0,cyclicDep,3939,smell
