Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence,TreeBuilder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ROOT
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,IDeviceManagementMongoClient,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_CUSTOMERS_COLLECTION_NAME; DEFAULT_CUSTOMER_TYPES_COLLECTION_NAME; DEFAULT_AREAS_COLLECTION_NAME; DEFAULT_AREA_TYPES_COLLECTION_NAME; DEFAULT_ZONES_COLLECTION_NAME; DEFAULT_DEVICE_TYPES_COLLECTION_NAME; DEFAULT_DEVICE_COMMANDS_COLLECTION_NAME; DEFAULT_DEVICE_STATUSES_COLLECTION_NAME; DEFAULT_DEVICES_COLLECTION_NAME; DEFAULT_DEVICE_GROUPS_COLLECTION_NAME; DEFAULT_DEVICE_GROUP_ELEMENTS_COLLECTION_NAME; DEFAULT_DEVICE_ASSIGNMENTS_COLLECTION_NAME; DEFAULT_DEVICE_ALARMS_COLLECTION_NAME; DEFAULT_DEVICE_STREAMS_COLLECTION_NAME; DEFAULT_DEVICE_STREAM_DATA_COLLECTION_NAME
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoArea,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_AREA_TYPE_ID; PROP_PARENT_AREA_ID; PROP_NAME; PROP_DESCRIPTION
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoAreaType,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_NAME; PROP_DESCRIPTION; PROP_CONTAINED_AREA_TYPE_IDS
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoBoundedEntity,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_COORDINATES; PROP_LATITUDE; PROP_LONGITUDE; PROP_ELEVATION
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoCustomer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_CUSTOMER_TYPE_ID; PROP_PARENT_CUSTOMER_ID; PROP_NAME; PROP_DESCRIPTION
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoCustomerType,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_NAME; PROP_DESCRIPTION; PROP_CONTAINED_CUSTOMER_TYPE_IDS
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoDevice,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_DEVICE_TYPE_ID; PROP_PARENT_DEVICE_ID; PROP_DEVICE_ELEMENT_MAPPINGS; PROP_STATUS; PROP_COMMENTS; PROP_ACTIVE_ASSIGNMENT_IDS
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoDeviceAlarm,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_ID; PROP_DEVICE_ID; PROP_DEVICE_ASSIGNMENT_ID; PROP_CUSTOMER_ID; PROP_AREA_ID; PROP_ASSET_ID; PROP_ALARM_MESSAGE; PROP_TRIGGERING_EVENT_ID; PROP_ALARM_STATE; PROP_TRIGGERED_DATE; PROP_ACKNOWLEDGED_DATE; PROP_RESOLVED_DATE
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoDeviceAssignment,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_DEVICE_ID; PROP_DEVICE_TYPE_ID; PROP_CUSTOMER_ID; PROP_AREA_ID; PROP_ASSET_ID; PROP_ACTIVE_DATE; PROP_RELEASED_DATE; PROP_STATUS
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoDeviceCommand,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_DEVICE_TYPE_ID; PROP_NAMESPACE; PROP_NAME; PROP_DESCRIPTION; PROP_PARAMETERS; PROP_PARAM_NAME; PROP_PARAM_TYPE; PROP_PARAM_REQUIRED
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoDeviceElementMapping,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_DEVICE_ELEMENT_SCHEMA_PATH; PROP_DEVICE_TOKEN
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoDeviceGroup,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_NAME; PROP_DESCRIPTION; PROP_ROLES; PROP_LAST_INDEX
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoDeviceGroupElement,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_ID; PROP_GROUP_ID; PROP_DEVICE_ID; PROP_NESTED_GROUP_ID; PROP_ROLES
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoDeviceManagement,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoDeviceStatus,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_DEVICE_TYPE_ID; PROP_CODE; PROP_NAME; PROP_BACKGROUND_COLOR; PROP_FOREGROUND_COLOR; PROP_BORDER_COLOR; PROP_ICON
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoDeviceType,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_NAME; PROP_DESCRIPTION; PROP_CONTAINER_POLICY; PROP_DEVICE_ELEMENT_SCHEMA
sitewhere-2.1.0-0c184b5,com.sitewhere.device.persistence.mongodb,MongoZone,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_AREA_ID; PROP_NAME; PROP_BORDER_COLOR; PROP_BORDER_OPACITY; PROP_FILL_COLOR; PROP_FILL_OPACITY
sitewhere-2.1.0-0c184b5,com.sitewhere.devicestate.microservice,DeviceStateMicroservice,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
sitewhere-2.1.0-0c184b5,com.sitewhere.devicestate.persistence.mongodb,IDeviceStateManagementMongoClient,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_DEVICE_STATES_COLLECTION_NAME
sitewhere-2.1.0-0c184b5,com.sitewhere.devicestate.persistence.mongodb,MongoDeviceState,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_ID; PROP_DEVICE_ID; PROP_DEVICE_TYPE_ID; PROP_DEVICE_ASSIGNMENT_ID; PROP_CUSTOMER_ID; PROP_AREA_ID; PROP_ASSET_ID; PROP_LAST_INTERACTION_DATE; PROP_PRESENCE_MISSING_DATE; PROP_LAST_LOCATION_ID; PROP_LAST_MEASUREMENT_IDS; PROP_LAST_ALERT_IDS; PROP_NAME; PROP_VALUE
sitewhere-2.1.0-0c184b5,com.sitewhere.devicestate.presence,PresenceNotificationStrategies.SendOnceNotificationStrategy,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.event.microservice,EventManagementTenantEngine,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.cassandra,CassandraDeviceAlert,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; FIELD_ALERT; FIELD_SOURCE; FIELD_LEVEL; FIELD_TYPE; FIELD_MESSAGE
