Project Name,Package Name,Architecture Smell,Cause of the Smell
qbike-4-472c92d,club.newtech.qbike.intention.domain.core.root,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: club.newtech.qbike.intention.domain.core.root; club.newtech.qbike.intention.domain.core.vo
qbike-4-472c92d,club.newtech.qbike.intention.domain.core.vo,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: club.newtech.qbike.intention.domain.core.vo; club.newtech.qbike.intention.domain.core.root
qbike-4-472c92d,club.newtech.qbike.intention.domain.core.vo,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): club.newtech.qbike.intention.domain.core.root
qbike-4-472c92d,club.newtech.qbike.intention.domain.core.vo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Candidate]; [Customer]; [DriverStatusVo; DriverVo]; [IntentionTask]; [Lock]; [Status]. LCC (Lack of Component Cohesion) = 0.86
qbike-4-472c92d,club.newtech.qbike.order.domain.core.vo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CustomerVo]; [DriverVo]; [Events; StateRequest]; [FlowState]; [IntentionVo]. LCC (Lack of Component Cohesion) = 0.83
qbike-4-472c92d,club.newtech.qbike.order.domain.service,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: club.newtech.qbike.order.domain.service; club.newtech.qbike.order.util
qbike-4-472c92d,club.newtech.qbike.order.domain.service,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ErrorAction; OrderStateMachineBuilder; StateMachineBuilderFactory; FsmService; OrderService; Receiver]; [InnerService]. LCC (Lack of Component Cohesion) = 0.29
qbike-4-472c92d,club.newtech.qbike.order.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: club.newtech.qbike.order.util; club.newtech.qbike.order.domain.service
qbike-4-472c92d,club.newtech.qbike.order.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): club.newtech.qbike.order.domain.service
