project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,InstabilityGapThreshold,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,StrengthThreshold,TotalNumberOfChanges,smellType,vertexId,vertexLabel
trainticket-0.1.0-56b95d7,6b9b5012-0575-4fcf-be09-725683cbf3a8,1,2023-02-13T12:01:28.524423400,37.79073694912367,37.79073694912367,0.0,CONTAINER,PACKAGE,"[edu.fudan.common, edu.fudan.common.security, edu.fudan, user]",0.0,user,0.0,1.0,0.2,0.0,0.0,0.8333333333333334,3,8.375852195299799E-5,1,5.454623037612722,,4,48,48,0.0,0.8975274678557507,1.0,0.3,0,unstableDep,29170,smell
trainticket-0.1.0-56b95d7,6b9b5012-0575-4fcf-be09-725683cbf3a8,1,2023-02-13T12:01:28.524423400,22.74787580593591,22.74787580593591,0.0,CONTAINER,PACKAGE,"[auth, edu.fudan.common, edu.fudan.common.security, edu.fudan]",0.0,auth,0.0,1.0,0.2,0.0,0.0,1.1666666666666667,3,8.375852195299799E-5,1,5.87347627719896,,4,15,15,0.0,0.8975274678557508,1.0,0.3,0,unstableDep,29179,smell
