Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.configuration,BatchOperationsTenantEngineModule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.grpc,BatchManagementGrpcServer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.grpc,BatchManagementImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.grpc,BatchManagementRouter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.grpc,BatchManagementRouter,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.handler,BatchCommandInvocationHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.kafka,FailedBatchElementsProducer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.kafka,UnprocessedBatchElementsConsumer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.kafka,UnprocessedBatchElementsProducer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.kafka,UnprocessedBatchOperationsConsumer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.kafka,UnprocessedBatchOperationsProducer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.messages,BatchOperationsMessages,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.messages,BatchOperationsMessages,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.microservice,BatchOperationsMicroservice,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.microservice,BatchOperationsTenantEngine,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.microservice,BatchOperationsTenantEngine,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.persistence.rdb.entity,Queries,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: QUERY_BATCH_OPERATION_BY_TOKEN
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.persistence.rdb.entity,Queries,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: QUERY_BATCH_OPERATION_BY_TOKEN
sitewhere-3.0.0-fc6441d,com.sitewhere.commands,CommandDeliveryApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.commands,DefaultCommandExecutionBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.commands,DefaultCommandProcessingStrategy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.commands,DefaultCommandTargetResolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.commands,NestedDeviceSupport.NestedDeviceInformation,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: gateway; nested; path
sitewhere-3.0.0-fc6441d,com.sitewhere.commands,NestedDeviceSupport.NestedDeviceInformation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.commands,NullParameters,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: parameters
sitewhere-3.0.0-fc6441d,com.sitewhere.commands,NullParameters.Extractor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: parameters
sitewhere-3.0.0-fc6441d,com.sitewhere.commands,NullParameters.Extractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration,CommandDeliveryConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration,CommandDeliveryModule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration,CommandDeliveryTenantEngineModule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.destinations,CommandDestinationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.destinations.mqtt,MqttConfiguration,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.extractors.coap,MetadataCoapParameterExtractorConfiguration,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_HOSTNAME_METADATA; DEFAULT_PORT_METADATA; DEFAULT_URL_METADATA; DEFAULT_METHOD_METADATA; hostnameMetadataField; portMetadataField; urlMetadataField; methodMetadataField
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.extractors.mqtt,DefaultMqttParameterExtractorConfiguration,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_COMMAND_EXPRESSION; DEFAULT_SYSTEM_EXPRESSION; commandTopicExpression; systemTopicExpression
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.extractors,ParameterExtractorConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.router.devicetypemapping,DeviceTypeMapping,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.router,OutboundCommandRouterParser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; TYPE_DEVICE_TYPE_MAPPING
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.router,RouterConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
