Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,updateAssetType,Long Statement,The length of the statement "IAssetType apiResult=getAssetManagement().updateAssetType(CommonModelConverter.asApiUuid(request.getAssetTypeId())`apiRequest);" is 127.,95
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,listAssetTypes,Long Statement,The length of the statement "ISearchResults<? extends IAssetType> apiResult=getAssetManagement().listAssetTypes(AssetModelConverter.asApiAssetTypeSearchCriteria(request.getCriteria()));" is 156.,192
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,listAssets,Long Statement,The length of the statement "ISearchResults<? extends IAsset> apiResult=getAssetManagement().listAssets(AssetModelConverter.asApiAssetSearchCriteria(request.getCriteria()));" is 144.,339
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.microservice,AssetManagementTenantEngine,setDatasetBootstrapBindings,Long Statement,The length of the statement "binding.setVariable(IScriptVariables.VAR_ASSET_MANAGEMENT_BUILDER`new AssetManagementRequestBuilder(getAssetManagement()));" is 123.,113
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.persistence.rdb,RdbAssetManagement,listAssets,Long Statement,The length of the statement "@Override public void addPredicates( CriteriaBuilder cb` List<Predicate> predicates` Root<RdbAsset> root) throws SiteWhereException {" is 133.,122
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.persistence.rdb,RdbAssetManagement,listAssets,Long Statement,The length of the statement "@Override public CriteriaQuery<RdbAsset> addSort( CriteriaBuilder cb` Root<RdbAsset> root` CriteriaQuery<RdbAsset> query){" is 122.,122
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.persistence.rdb,RdbAssetManagement,listAssetTypes,Long Statement,The length of the statement "@Override public void addPredicates( CriteriaBuilder cb` List<Predicate> predicates` Root<RdbAssetType> root) throws SiteWhereException {" is 137.,226
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.persistence.rdb,RdbAssetManagement,listAssetTypes,Long Statement,The length of the statement "@Override public CriteriaQuery<RdbAssetType> addSort( CriteriaBuilder cb` Root<RdbAssetType> root` CriteriaQuery<RdbAssetType> query){" is 134.,226
sitewhere-3.0.0-fc6441d,com.sitewhere.batch,BatchOperationManager,BatchOperationManager,Long Statement,The length of the statement "getHandlersByOperationType().put(BatchOperationTypes.OPERATION_BATCH_COMMAND_INVOCATION`new BatchCommandInvocationHandler());" is 125.,79
sitewhere-3.0.0-fc6441d,com.sitewhere.batch,BatchOperationManager,initialize,Long Identifier,The length of the field unprocessedBatchOperationsConsumer is 34.,92
