"Project","Commit","ADI"
"trainticket","b22197c4",162.554948055308
"trainticket","9f4a3689",174.055614795919
"trainticket","c578820c",174.055614795919
"trainticket","1d1573f3",174.055614795919
"trainticket","90d3b185",174.055614795919
"trainticket","566616aa",174.055614795919
"trainticket","2e476e83",174.055614795919
"trainticket","dd7d9b7c",174.055614795919
"trainticket","46fe54f0",174.055614795919
"trainticket","c3e24f08",174.055614795919
"trainticket","18279cfe",174.055614795919
"trainticket","cdbc1138",174.055614795919
"trainticket","0e38fbc7",60.930237069225
"trainticket","9d8e8d66",60.930237069225
"trainticket","57da3672",60.930237069225
"trainticket","5036f689",60.930237069225
"trainticket","b7b2f76f",60.930237069225
"trainticket","e790feb9",60.930237069225
"trainticket","c01a86cc",60.930237069225
"trainticket","1ffc4df9",60.930237069225
"trainticket","570a522e",60.930237069225
"trainticket","db6d0dbd",60.930237069225
"trainticket","a9b5b4fb",60.930237069225
"trainticket","97a90f00",60.930237069225
"trainticket","545bd18c",60.930237069225
"trainticket","2fe2dd07",60.930237069225
"trainticket","122fb40b",60.930237069225
"trainticket","ade814cf",62.39932434374
"trainticket","62c62708",62.7869724675741
"trainticket","021d3e8a",62.7869724675741
"trainticket","1e671c7f",62.7869724675741
"trainticket","a4ed2433",62.7869724675741
"trainticket","79c37504",62.7869724675741
"trainticket","3b3eb263",60.930237069225
"trainticket","1c6611c7",60.930237069225
"trainticket","9bdaef9b",60.5386127550596
"trainticket","6da7af03",60.5386127550596
"trainticket","5b9edca5",60.5386127550596
"trainticket","bc5211d8",60.5386127550596
"trainticket","4785de21",60.5386127550596
"trainticket","60af219e",60.5386127550596
"trainticket","47046046",60.5386127550596
"trainticket","bc1567db",60.5386127550596
"trainticket","e5ae0c3a",63.1826242486411
"trainticket","61716b60",63.1826242486411
"trainticket","2ab32077",63.1826242486411
"trainticket","fa8d9efb",114.386403327829
