project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,InstabilityGapThreshold,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,StrengthThreshold,TotalNumberOfChanges,smellType,vertexId,vertexLabel
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,37.79073694912367,37.79073694912367,0.0,CONTAINER,PACKAGE,"[edu.fudan.common, edu.fudan.common.security, edu.fudan, user]",0.0,user,0.0,1.0,0.2,0.0,0.0,0.8333333333333334,3,6.706634030720302E-5,1,5.454623037612722,,4,48,48,0.0,0.8975274678557507,1.0,0.3,0,unstableDep,27917,smell
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,51.20377907918751,51.20377907918751,0.0,CONTAINER,PACKAGE,"[waitorder, edu.fudan.common.security, edu.fudan.common, edu.fudan]",0.0,waitorder,0.0,1.0,0.2,0.0,0.0,1.1666666666666667,3,6.706634030720302E-5,1,5.87347627719896,,4,76,76,0.0,0.8975274678557508,1.0,0.3,0,unstableDep,27926,smell
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,24.216963080450906,24.216963080450906,0.0,CONTAINER,PACKAGE,"[auth, edu.fudan.common, edu.fudan.common.security, edu.fudan]",0.0,auth,0.0,1.0,0.2,0.0,0.0,1.1666666666666667,3,6.706634030720302E-5,1,5.87347627719896,,4,17,17,0.0,0.8975274678557508,1.0,0.3,0,unstableDep,27935,smell
