Project Name,Package Name,Architecture Smell,Cause of the Smell
trainticket-0.0.2-228066f,order.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LeftTicketInfo]; [Order; OrderAlterInfo; OrderStatus; SeatClass]; [OrderInfo]; [OrderSecurity]; [Seat]; [SoldTicket]; [Ticket]; [TrainType]. LCC (Lack of Component Cohesion) = 0.73
trainticket-0.0.2-228066f,preserveOther.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Account; DocumentType; Gender]; [Assurance; AssuranceType]; [Consign]; [Contacts]; [FoodOrder]; [NotifyInfo]; [Order; OrderStatus; SeatClass]; [OrderTicketsInfo]; [Seat]; [Ticket]; [TrainType; TravelResult]; [Travel; Trip; TripAllDetail; TripId; TripResponse; Type]; [TripAllDetailInfo]; [User]. LCC (Lack of Component Cohesion) = 0.56
trainticket-0.0.2-228066f,preserve.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Account; DocumentType; Gender]; [Assurance; AssuranceType]; [Consign]; [Contacts]; [FoodOrder]; [NotifyInfo]; [Order; OrderStatus; OrderTicketsResult; SeatClass]; [OrderTicketsInfo]; [Seat]; [Ticket]; [TrainType; TravelResult]; [Travel; Trip; TripAllDetail; TripId; TripResponse; Type]; [TripAllDetailInfo]; [User]. LCC (Lack of Component Cohesion) = 0.54
trainticket-0.0.2-228066f,rebook.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Contacts]; [Order; OrderStatus; SeatClass]; [OrderTicketsInfo]; [PaymentDifferenceInfo]; [RebookInfo]; [Seat]; [Ticket]; [Trip; TripAllDetail; TripId; TripResponse; Type]; [TripAllDetailInfo]; [VerifyResult]. LCC (Lack of Component Cohesion) = 0.63
trainticket-0.0.2-228066f,plan.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Route]; [RoutePlanInfo]; [RoutePlanResultUnit]; [Trip; TripAllDetail; TripId; TripResponse; Type]; [TripAllDetailInfo]; [TripInfo]. LCC (Lack of Component Cohesion) = 0.6
trainticket-0.0.2-228066f,seat.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Config]; [LeftTicketInfo]; [Route]; [Seat]; [SeatClass]; [Ticket]; [TrainType]. LCC (Lack of Component Cohesion) = 1.0
trainticket-0.0.2-228066f,ticketinfo.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TrainType; TravelResult]; [Travel; Trip; TripId; Type]. LCC (Lack of Component Cohesion) = 0.33
trainticket-0.0.2-228066f,travelplan.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RoutePlanInfo]; [RoutePlanResultUnit]; [Seat]; [SeatClass]; [TrainTypeEnum; TripId; TripResponse; Trip]; [TransferTravelInfo]; [TransferTravelResult]; [TravelAdvanceResultUnit]; [TripInfo]. LCC (Lack of Component Cohesion) = 0.75
trainticket-0.0.2-228066f,travel.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AdminTrip; Route; TrainType; TravelResult; Trip; TripAllDetail; TripId; TripResponse; Type; Travel]; [Seat]; [SeatClass]; [SoldTicket]; [TravelInfo]; [TripAllDetailInfo]; [TripInfo]. LCC (Lack of Component Cohesion) = 0.44
trainticket-0.0.2-228066f,travel2.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AdminTrip; Route; TrainType; TravelResult; Trip; TripAllDetail; TripId; TripResponse; Type; Travel]; [Seat]; [SeatClass]; [SoldTicket]; [TravelInfo]; [TripAllDetailInfo]; [TripInfo]. LCC (Lack of Component Cohesion) = 0.44
trainticket-0.0.2-228066f,(default package),Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestFlowOne]; [TestFlowTwoPay]; [TestFlowTwoRebook]; [TestServiceBasicInfo]; [TestServiceCancel]; [TestServiceCellect]; [TestServiceConfig]; [TestServiceContacts]; [TestServiceExecute]; [TestServiceInsidePay]; [TestServiceLogin]; [TestServiceNotification]; [TestServiceOrders]; [TestServicePayment]; [TestServicePrice]; [TestServiceRebook]; [TestServiceRegister]; [TestServiceSecurity]; [TestServiceSSO]; [TestServiceStation]; [TestServiceTicketInfo]; [TestServiceTrain]; [TestServiceTravel]; [TestServiceTravel.TravelInfo]; [TestServiceTravel2]. LCC (Lack of Component Cohesion) = 1.0
