Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
qbike-5-47301e2,club.newtech.qbike.intention,RabbitConfig,intentionQueue,3,1,0,14,0,,
qbike-5-47301e2,club.newtech.qbike.intention,SpringAsyncConfig,taskExecutor,5,1,0,12,0,,
qbike-5-47301e2,club.newtech.qbike.intention,IntentionTest,saveIntention,18,1,0,26,1,,
qbike-5-47301e2,club.newtech.qbike,EurekaApplication,main,3,1,1,14,0,,
qbike-5-47301e2,club.newtech.qbike.order.controller,OrderController,cancelOrder,15,1,2,23,0,,
qbike-5-47301e2,club.newtech.qbike.order.controller,OrderController,aboard,15,1,2,39,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.exception,OrderRuntimeException,OrderRuntimeException,4,1,0,28,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.exception,OrderRuntimeException,OrderRuntimeException,5,1,1,33,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.exception,OrderRuntimeException,OrderRuntimeException,5,1,2,39,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.exception,OrderRuntimeException,OrderRuntimeException,5,1,2,45,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.exception,OrderRuntimeException,OrderRuntimeException,5,1,3,51,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.exception,OrderRuntimeException,OrderRuntimeException,3,1,1,57,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.exception,OrderRuntimeException,getErrorMessage,15,4,0,63,0,club.newtech.qbike.order.domain.exception.OrderRuntimeException,club.newtech.qbike.order.domain.exception.OrderRuntimeException
qbike-5-47301e2,club.newtech.qbike.order.domain.exception,OrderRuntimeException,getMessage,8,1,2,88,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.service,ErrorAction,execute,3,1,1,19,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.service,FsmService,changeState,25,6,1,25,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.service,OrderService,generateOrderId,3,1,0,35,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.service,OrderService,createOrder,17,1,1,40,0,club.newtech.qbike.order.domain.service.OrderService,club.newtech.qbike.order.domain.service.OrderService
qbike-5-47301e2,club.newtech.qbike.order.domain.service,OrderService,aboard,5,1,1,60,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.service,OrderService,cancel,10,2,1,67,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.service,OrderStateMachineBuilder,build,7,1,2,27,0,club.newtech.qbike.order.domain.service.OrderStateMachineBuilder,club.newtech.qbike.order.domain.service.OrderStateMachineBuilder
qbike-5-47301e2,club.newtech.qbike.order.domain.service,OrderStateMachineBuilder,aboard,9,1,0,72,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.service,OrderStateMachineBuilder,cancel,9,1,0,81,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.service,Receiver,receiveMessage,10,1,1,20,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.service,Receiver,receivePositionUpdate,9,1,1,44,0,,
qbike-5-47301e2,club.newtech.qbike.order.domain.service,StateMachineBuilderFactory,create,12,1,1,19,0,,
qbike-5-47301e2,club.newtech.qbike.order.infrastructure,UserRibbonHystrixApi,findCustomerById,8,1,1,20,0,,
qbike-5-47301e2,club.newtech.qbike.order.infrastructure,UserRibbonHystrixApi,findDriverById,8,1,1,36,0,,
qbike-5-47301e2,club.newtech.qbike.order.infrastructure,UserRibbonHystrixApi,fallback,8,1,1,46,0,,
qbike-5-47301e2,club.newtech.qbike.order.infrastructure,UserRibbonHystrixApi,fallbackDriver,8,1,1,61,0,,
qbike-5-47301e2,club.newtech.qbike.order,OrderApplication,main,3,1,1,22,0,,
qbike-5-47301e2,club.newtech.qbike.order,OrderApplication,restTemplate,3,1,0,58,0,,
qbike-5-47301e2,club.newtech.qbike.order,RabbitConfig,intentionQueue,3,1,0,14,0,,
qbike-5-47301e2,club.newtech.qbike.order,SpringAsyncConfig,taskExecutor,5,1,0,12,0,,
qbike-5-47301e2,club.newtech.qbike.order,OrderTest,changeState,10,1,0,28,1,,
qbike-5-47301e2,club.newtech.qbike.order,OrderTest,createAndChange,18,1,0,41,1,,
qbike-5-47301e2,club.newtech.qbike.order.util,AsyncTaskInitializer,initialize,2,1,0,14,0,,
qbike-5-47301e2,club.newtech.qbike.order.util,SequenceFactory,set,5,1,3,16,0,,
qbike-5-47301e2,club.newtech.qbike.order.util,SequenceFactory,set,5,1,4,29,0,,
qbike-5-47301e2,club.newtech.qbike.order.util,SequenceFactory,generate,4,1,1,43,0,,
qbike-5-47301e2,club.newtech.qbike.order.util,SequenceFactory,generate,5,1,2,54,0,,
qbike-5-47301e2,club.newtech.qbike.order.util,SequenceFactory,generate,4,1,2,66,0,,
qbike-5-47301e2,club.newtech.qbike.order.util,SequenceFactory,generate,5,1,3,78,0,,
