Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.test,EventHubReceiverTest,singleThreadReceiveTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,testConnectivity,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,testDeviceCRUD,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,testDeviceCRUD,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,testDeviceEventBatch,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,testGetAssignmentsForAsset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,testListAssets,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,testCreateZone,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,testListDevices,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,testCreateEvents,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,sendBatchCommandInvocation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,listCommandsForSpecification,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,testDeviceGroups,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
sitewhere-1.13.0-b85bf70,com.sitewhere.test,MultithreadedRestTest,doRestTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,StompTest,doStompTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.test,StreamTests,testCreateStreamAndReadWrite,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.coap,CoapTests,testRegisterDevice,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.coap,CoapTests,testRegisterDeviceSimple,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.coap,CoapTests,testAddDeviceMeasurements,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.coap,CoapTests,testAddDeviceMeasurementsSimple,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.coap,CoapTests,testAddDeviceAlert,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.coap,CoapTests,testAddDeviceAlertSimple,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.coap,CoapTests,testAddDeviceLocation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.coap,CoapTests,testAddDeviceLocationSimple,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.coap,CoapTests,testAddAcknowledgement,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.coap,CoapTests,sendSilecticaRules,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.coap,CoapTests,sendSilecticaRuleAckPayloadOnly,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.coap,CoapTests,testAddAcknowledgementSimple,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test,HazelcastTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.mqtt,MqttTests,sendLocationOverMqtt,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.mqtt,MqttTests,sendLocationOverMqtt,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.mqtt,MqttTests,sendMany,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.mqtt,MqttTests,sendNonStandardMeasurements,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.mqtt,MqttTests,sendNonStandardMeasurements,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.mqtt,MqttTests,sendDeviceMappingCreateRequest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.mqtt,MqttTests,sendDeviceMappingCreateRequest,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
sitewhere-1.13.0-b85bf70,com.sitewhere.core.test.websocket,WebSocketServerTest,startWebSocketServer,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.mongodb.test,MongoTests,testAuthentication,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.protobuf.test,ActiveMQTests,doJMSTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.protobuf.test,ActiveMQTests,doMultithreadedJmsTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.protobuf.test,ActiveMQTests,doRabbitMQTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.protobuf.test,ActiveMQTests,doQpidTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.protobuf.test,SocketTests,doInteractiveSocketTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.protobuf.test,SocketTests,doSocketTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.protobuf.test,SocketTests,doSocketTest2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.protobuf.test,SocketTests,doOssTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.protobuf.test,SocketTests,doLoraTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.protobuf.test,SocketTests,doMqttTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.protobuf.test,SocketTests,doMqttTest,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
sitewhere-1.13.0-b85bf70,com.sitewhere.wso2.identity.test,SoapApiTests,testAuthentication,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-1.13.0-b85bf70,com.sitewhere.wso2.identity.test,SoapApiTests,testKSoapAuthentication,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
